"P39_NL","P39_L","P33_NL","P33_L","P22_NL","P22_L","P19_NL","P19_L","P65_NL","P65_L"
"A1BG",46,29,104,27,42,17,65,101,27,32
"A1BG-AS1",27,18,48,13,10,3,39,54,23,24
"A1CF",5,0,38,15,2,0,4,7,0,3
"A2M",22,13,27,10,10,16,52,98,26,1
"A2M-AS1",6,2,7,11,3,2,7,4,6,4
"A2ML1",10430,4498,37288,13091,3349,845,4827,5654,7033,3211
"A2ML1-AS1",0,0,8,2,0,0,0,0,0,0
"A2ML1-AS2",0,0,5,0,0,0,0,0,0,1
"A2MP1",0,0,1,5,0,0,0,3,2,0
"A3GALT2",3,1,8,0,1,0,0,0,0,0
"A4GALT",194,86,193,51,43,14,300,277,63,40
"A4GNT",2,2,1,2,0,0,0,1,0,2
"AAAS",1222,680,2381,1344,703,192,1368,1461,760,751
"AACS",4701,2391,10871,4964,3203,1192,5546,6337,3999,3044
"AACSP1",14,12,67,77,5,4,18,30,27,57
"AADAC",305,293,543,553,41,119,87,147,1016,970
"AADACL2",1762,1773,3664,4936,333,819,495,1240,5047,7408
"AADACL2-AS1",1,0,8,0,0,0,1,0,1,1
"AADACL3",11,30,9,9,0,1,2,3,12,0
"AADACL4",0,0,0,1,0,0,0,0,1,0
"AADACP1",2,6,8,2,0,0,0,0,3,12
"AADAT",6,6,25,29,2,1,9,5,17,5
"AAGAB",1009,977,1588,1830,293,285,629,1689,1420,1663
"AAK1",516,435,2677,1270,249,86,365,647,632,469
"AAMDC",356,274,460,569,300,116,477,813,635,365
"AAMP",5199,2765,10640,5541,2666,1158,5434,6790,3759,3069
"AANAT",12,4,108,27,1,0,4,5,7,6
"AAR2",2838,1096,4051,2047,1218,419,1688,2245,1933,1845
"AARD",30,33,56,51,11,11,23,63,23,25
"AARS1",2652,1635,5305,3436,994,418,2124,2816,1878,1669
"AARS1P1",0,0,0,0,0,0,0,0,0,0
"AARS2",593,318,1580,850,185,84,385,590,626,393
"AARSD1",513,474,698,848,272,190,680,1092,554,567
"AASDH",575,723,1080,1385,89,76,195,595,1102,1363
"AASDHPPT",1400,1161,1888,1946,241,301,419,1686,1482,1377
"AASS",214,304,1950,1496,47,35,103,414,394,258
"AATBC",267,159,768,306,64,12,157,133,289,170
"AATF",2066,1403,3060,2487,844,544,1436,2463,1797,1582
"AATK",54,29,2719,346,51,7,129,100,153,95
"ABALON",10,2,32,15,7,0,6,12,9,2
"ABAT",107,100,487,305,27,24,72,247,170,89
"ABBA01000933.1",0,0,0,0,0,0,0,0,0,0
"ABBA01000935.2",0,1,0,0,0,0,0,0,0,0
"ABBA01006766.1",0,0,0,1,0,0,0,3,0,1
"ABBA01010928.1",0,0,0,0,0,0,0,0,0,0
"ABBA01031658.1",0,0,0,1,0,0,0,0,0,1
"ABBA01031669.1",0,0,0,0,0,0,0,0,0,0
"ABBA01045074.1",0,0,0,0,0,0,0,0,0,0
"ABBA01045074.2",0,0,0,1,0,0,0,0,0,0
"ABCA1",526,966,3444,2634,177,92,240,853,3058,1489
"ABCA10",62,79,266,173,23,4,30,61,164,142
"ABCA11P",26,34,109,146,11,18,22,118,97,77
"ABCA12",4906,4077,16652,10425,456,263,820,1375,10185,6093
"ABCA13",94,73,147,286,11,10,16,34,89,8
"ABCA17P",4,4,24,9,2,1,12,11,3,2
"ABCA2",1717,894,6230,2008,893,133,1492,1155,1413,693
"ABCA3",822,354,2458,644,696,110,759,638,612,269
"ABCA4",151,100,126,59,4,3,13,41,64,2
"ABCA5",846,1204,4479,2878,213,128,422,1069,2127,1567
"ABCA6",14,14,117,63,11,2,15,26,41,37
"ABCA7",942,541,4207,1501,544,115,886,1048,968,533
"ABCA8",27,150,81,58,3,0,9,6,80,176
"ABCA9",11,13,172,59,1,2,9,11,30,13
"ABCA9-AS1",1,2,1,1,0,0,0,1,3,3
"ABCB1",0,4,1,6,3,0,0,5,1,0
"ABCB10",509,528,1191,1151,122,85,167,631,708,659
"ABCB10P1",0,0,0,0,0,0,0,0,0,0
"ABCB10P3",0,0,0,0,0,0,0,1,0,0
