"P11_L","P12_L","P13_L","P14_L","P15_L","P16_L","P17_L","P18_L","P19_L","P20_L","P11_PL","P12_PL","P13_PL","P14_PL","P15_PL","P16_PL","P17_PL","P18_PL","P19_PL","P20_PL"
"A1BG",4.943,4.8995,5.122,5.3028,5.3197,4.998,5.0588,5.1314,5.1433,5.2254,5.0713,5.028,5.042,5.2812,5.2501,5.199,5.3198,4.9741,5.3238,5.2534
"A1BG-AS1",6.9207,6.8211,6.8955,7.0003,6.8026,7.1932,6.7503,6.7698,7.1364,6.993,6.9733,6.6819,6.955,7.0565,6.9636,6.8681,6.9041,6.8731,6.957,7.1567
"A1CF",2.8637,3.0121,2.87625,2.5446,2.71845,2.8143,2.8801,2.8668,2.72075,2.6925,2.78205,2.9156,2.9124,2.9036,2.71475,2.62495,2.73955,2.8413,2.7149,2.63605
"A2M",8.46505,8.4797,8.20145,8.4279,8.4125,8.18205,8.4248,8.22085,8.40755,8.50535,8.41615,8.66155,8.2651,8.47695,8.41485,8.48155,8.56175,8.39945,8.45965,8.43605
"A2M-AS1",6.7757,6.5263,5.8376,6.4431,6.2979,5.7367,6.3353,5.6473,6.2418,6.2929,6.5823,6.7002,5.9862,6.4709,6.2419,6.2772,6.7514,5.901,6.4513,6.4176
"A2ML1",8.2462,8.1354,8.2907,7.6917,8.341,8.50905,7.51465,8.1429,9.42825,8.26765,7.88725,8.534,7.993,7.9153,7.67735,8.1062,7.54805,8.1544,8.9053,7.977
"A2MP1",6.1948,6.6698,5.2778,5.986,6.0066,5.2334,6.2557,6.0868,5.5503,6.114,6.3033,6.4512,5.4768,6.1328,6.0164,5.6606,7.114,5.5311,6.2327,6.47
"A4GALT",8.2058,7.7865,7.4622,7.8125,7.8608,7.479,7.5701,7.5611,7.6455,7.7581,8.0415,7.8524,7.2905,7.9173,7.6238,7.7385,7.7686,7.4159,7.5289,7.4313
"A4GNT",2.8706,2.8325,3.0927,3.33,3.0563,2.9655,2.9044,3.4394,3.2813,2.94,2.94,3.0949,3.1864,3.0879,3.0392,2.9008,3.1408,3.1255,2.7373,3.1869
"AA06",4.5957,4.6981,4.3969,4.4287,4.6388,4.6451,4.4545,4.8259,4.4355,4.2881,4.8702,4.5961,4.7275,4.6133,4.7416,4.6562,4.5448,4.8322,4.7013,4.5254
"AAAS",8.5045,8.5001,8.7754,8.5189,8.4311,8.769,8.4193,8.5075,8.7036,8.6413,8.4314,8.5792,8.7774,8.4665,8.3263,8.5644,8.2258,8.3033,8.4503,8.675
"AACS",10.6535,9.8351,10.1691,10.2606,9.9204,10.2211,9.8814,10.7648,10.8364,10.229,10.6361,10.1482,10.2449,9.9115,11.0281,10.1095,9.8142,10.8198,10.4233,10.7693
"AACSP1",5.3379,7.3575,5.1466,4.8716,5.8584,4.5186,4.6488,5.062,5.4743,6.1409,5.4491,6.31,5.5708,5.5427,5.6256,5.0179,5.134,5.0175,5.1664,6.8726
"AADAC",8.131,8.5046,9.3941,9.2758,9.1695,9.9991,8.0739,10.0361,10.1057,9.7364,8.2319,8.5622,9.0371,9.4142,9.1672,9.1279,7.9851,9.5375,9.9089,9.5167
"AADACL2",11.6962,11.6909,12.0869,11.873,11.952,12.0281,11.5693,11.9495,12.0897,11.9943,11.4352,11.5879,11.8708,11.7978,11.6128,11.7348,11.3018,11.8128,11.7945,11.7481
"AADACP1",4.2566,4.2304,4.4012,4.4246,5.1189,5.2321,4.6257,4.2697,3.5273,4.3887,4.0901,3.827,4.5303,3.9648,4.163,4.7548,4.2576,4.6652,3.8289,3.3755
"AADAT",6.3561,6.5505,5.3393,6.2976,6.0236,5.2624,5.9892,6.0002,5.5213,6.2045,5.997,6.0958,5.7025,6.0417,5.57,5.9366,6.2989,5.7688,5.8883,5.9491
